Name,CW_M22220_Cranium,CW_M1942_Cranium,CW_J6023B_Cranium,CW_J6203A_Cranium,NHNW_B131_Cranium,NHNW_B79_Cranium,NHNW_J13144_Cranium,NHNW_J6239_Cranium,SHNW_M8748_Cranium,SHNW_M8749_Cranium,SHNW_M8952_Cranium,SHNW_M8951_Cranium
Y Fronto-nasal suture,514.3390625,-42.59582214,10.70419083,-31.28880005,12.35159912,4.927701569,14.64711304,9.319309235,218.4782227,-89.52304077,-89.77335205,218.2205322
Z Fronto-nasal suture,-797.9375,-511.0413574,-1240.254492,-633.9096191,-1250.160742,-993.4481445,-957.475,-1237.23291,-867.7073242,-731.3575195,-492.0108887,-488.0621582
X Foramen ovale R,-18.4531723,65.50148926,-20.86007233,-16.8855011,-19.65475464,-21.32739105,-18.9812088,-17.36893463,46.25676575,-77.08234253,-81.51137695,-94.22910156
Y Foramen ovale R,579.1789551,19.46404266,81.56645508,29.20915222,72.93616943,67.48127441,76.04689331,72.11216431,286.6988281,-19.89867249,-25.967453,289.9615479
Z Foramen ovale R,-840.1709961,-559.1227539,-1287.619922,-686.7083984,-1300.057715,-1042.709277,-1001.149805,-1286.278027,-908.4365234,-769.4758301,-529.7762207,-523.345166
X Foramen ovale L,5.484345627,98.6465271,18.25131531,16.7333313,17.65458679,15.97748413,15.52831116,18.23998413,77.14454956,-48.35120544,-49.94319153,-61.17645264
Y Foramen ovale L,571.1230957,18.90014038,79.96791382,28.1722168,73.49827881,66.38650513,76.02865601,71.68132935,287.1005615,-19.91086884,-21.57631226,291.4622803
Z Foramen ovale L,-838.4658203,-548.6020996,-1289.050391,-686.9758789,-1302.986914,-1045.019531,-1001.805566,-1288.098926,-902.9625,-777.1062988,-537.8731445,-534.4757813
X Foramen alar R,-9.052436829,71.17241211,-12.02327957,-8.2219841,-11.83407211,-13.78079987,-12.98488464,-11.76162262,49.65089722,-70.82630615,-72.7843689,-87.21985474
Y Foramen alar R,563.323291,1.728733635,60.2645813,12.73936768,53.75725708,47.40923767,58.03588867,53.19813843,267.5998291,-35.59028625,-43.00556335,273.5228516
Z Foramen alar R,-831.7150391,-548.2333984,-1278.920215,-675.3099609,-1289.706055,-1031.948535,-991.6849609,-1277.130957,-900.6036133,-763.2367676,-521.3531738,-518.7008301
X Foramen alar L,8.300926208,88.44697876,9.552780914,9.312848663,11.71431656,9.654107666,8.412387085,13.27650299,70.87132568,-48.00106812,-50.54076233,-62.35460815
Y Foramen alar L,565.0795898,2.313461304,60.20424194,13.50402985,53.17056885,48.62835999,57.76845093,51.23901367,267.2287354,-37.00465088,-38.21363525,273.0546631
Z Foramen alar L,-831.7708984,-543.244043,-1280.243555,-676.6640625,-1291.685059,-1033.26084,-992.7275391,-1277.989746,-896.8663086,-766.769043,-528.3871094,-524.6521484
X End of zygomatic R,-37.51071167,45.85914612,-33.30916443,-32.23219299,-44.75796204,-43.34858704,-36.43009949,-38.13171997,29.0427063,-84.28071899,-95.28388672,-100.0778687
Y End of zygomatic R,611.7530762,50.65551147,112.2958496,68.0572937,110.6335449,104.173938,109.6081177,110.0748291,321.0720215,15.83511658,6.410953522,324.514209
Z End of zygomatic R,-814.0874023,-540.9959473,-1260.336914,-659.9066406,-1263.623926,-1010.192969,-970.7634766,-1252.323926,-878.8908203,-736.3163086,-495.5217773,-483.5907715
X End of zygomatic L,28.81208191,106.3359253,36.31204224,34.25842285,42.13250122,41.13169861,36.8567688,46.04938354,81.88411255,-30.21200562,-29.50771179,-39.42641907
Y End of zygomatic L,616.7904297,49.37677612,111.6678467,68.47947998,114.3897583,104.5849854,108.0199219,106.9458008,320.5235352,18.54073792,14.70949097,328.2177979
Z End of zygomatic L,-812.9876953,-522.8793945,-1264.510645,-660.4599121,-1268.578418,-1014.483496,-974.0899414,-1256.887305,-868.4539063,-749.4599609,-513.7975098,-502.6778809
X End of nasomaxillary R,-3.637332153,67.24077148,-11.31307755,-7.962245941,-17.17204132,-17.76681671,-18.71908417,-21.6489151,42.8421875,-63.70557861,-59.2800354,-79.26807861
Y End of nasomaxillary R,458.7651367,-102.3144958,-55.94093018,-95.33823853,-43.8236969,-48.71026611,-36.10905151,-41.52379456,179.935083,-128.9248657,-133.1709717,175.657312
Z End of nasomaxillary R,-815.8563477,-532.759668,-1255.442285,-650.1070801,-1254.858105,-998.5254883,-964.9424805,-1242.633984,-877.353125,-739.3559082,-501.0442871,-497.1070801
X End of nasomaxillary L,13.27084656,82.73180542,4.818742371,10.15193634,25.38140869,17.98919983,13.68164825,19.1610611,65.06904907,-37.83793335,-31.39969177,-49.37399292
