Name,Koala_NR2143,Koala_NR2145,Koala_NR1355,Koala_NR1499,Koala_NR0862,Koala_NR1098,Koala_NR2104,Koala_NR2105,Koala_NR2106,Koala_NR2127,Koala_NR2128,Koala_NR2112,Koala_NR2097,Koala_NR2102,Koala_NR2103,Koala_NR2137,Koala_NR2138,Koala_NR2139,Koala_Bimbo,Koala_Cascade,Koala_Cindy,Koala_Crockett,Koala_Eddie
X Dorsal patch 153,65.77702637,-32.58003845,69.03154297,-27.08151245,69.92253418,-16.96980591,83.96574707,-5.570040894,81.19241333,3.211916351,86.38809814,-31.06587219,-24.39941559,51.69064941,-23.62573547,59.80795288,-25.85782776,67.88117065,19.15151062,-0.426877546,8.453362274,23.04879303,18.7947998
Y Dorsal patch 153,56.00421753,43.43190002,295.291748,248.8102539,525.7779297,507.6885254,55.36617432,37.85541687,274.8665771,271.0826172,515.3912598,65.68009644,300.1265625,268.1011963,546.8521484,507.5996582,742.7751465,755.0341309,85.83649292,76.92008057,164.1494019,82.43635254,80.7190979
Z Dorsal patch 153,-625.8868652,-640.616748,-627.8128906,-641.8272949,-627.1174805,-636.4135254,-562.0470703,-574.3838867,-569.2822754,-577.6600098,-561.5658203,-831.7873047,-826.7170898,-824.5794922,-824.2524414,-820.8383789,-836.7414063,-817.6251953,-1219.128418,-1223.114063,-1258.371191,-1215.04248,-1208.085938
X Dorsal patch 152,64.52896118,-30.65987854,68.62607422,-26.96510925,67.69694214,-14.56993561,82.06464233,-3.986296082,78.58079834,1.396213627,87.58977661,-29.89384766,-22.41880188,51.09443359,-24.60366516,57.65368042,-25.98459473,71.71968994,18.12140045,10.67337112,10.12933044,21.14976044,23.48569946
Y Dorsal patch 152,-24.08313599,-21.44210968,217.7659668,183.6020996,453.3740723,427.1568359,-26.30727844,-35.22615967,205.8043457,195.5706299,438.1485352,-9.157293701,224.1993652,202.1731201,468.4632813,433.4487793,679.8135742,676.990918,16.02120667,15.1581604,97.78340454,7.100642395,6.873000336
Z Dorsal patch 152,-622.4905273,-638.7253906,-623.7005371,-637.4609863,-624.1066895,-630.3183105,-557.0750488,-573.0691895,-565.1343262,-572.6371094,-557.7739258,-823.5803711,-819.6032227,-821.965332,-820.7061523,-815.8394043,-828.590625,-812.2828125,-1218.096387,-1214.925391,-1251.989648,-1212.172559,-1200.471973
X Dorsal patch 151,53.20899048,-39.81632996,56.64937134,-37.21022034,55.3199707,-26.69666443,69.85720825,-15.89143372,69.43859253,-9.610313416,75.21490479,-39.5573761,-34.0191925,41.42617493,-33.8618042,46.65548096,-36.08526306,59.43440552,9.423605347,3.956240463,0.431511688,9.120455933,13.05749969
Y Dorsal patch 151,-44.45162354,-37.35805664,195.9300903,165.9970337,432.6560547,408.7576416,-49.03925781,-53.44342041,190.0078125,174.0485107,417.5910156,-27.54645081,204.2619141,185.2344849,448.8060547,413.6428223,665.584082,658.2310059,-0.223857641,-3.412101746,81.35056763,-13.45122681,-13.28650055
Z Dorsal patch 151,-622.9564453,-637.0777832,-621.9685059,-634.4144043,-625.9164551,-625.5798828,-557.0297852,-572.2772949,-565.6373047,-571.3813477,-559.9647949,-817.440625,-816.3559082,-826.1098633,-817.7787598,-814.3657715,-827.6520508,-811.7526855,-1220.526563,-1215.920117,-1254.189355,-1212.205371,-1197.544238
X Dorsal patch 150,15.80581818,-74.18232422,16.60056152,-73.20509644,17.42185822,-70.14682617,34.1287323,-54.01925659,36.46559753,-45.06100769,36.77728271,-80.21192627,-76.77865601,8.163691711,-76.67843628,9.796289825,-68.47088013,15.73686371,-27.50791931,-38.41498108,-33.11631775,-28.1722168,-32.26140137
Y Dorsal patch 150,23.29156189,16.07859955,261.2827393,221.0047363,497.1109863,473.5908203,21.7752243,6.460521698,246.2449219,242.7378174,485.0011719,33.02243042,269.6076172,240.8632568,516.2530273,477.339209,715.9422363,719.9353027,58.33034058,43.07193909,133.3795654,52.19661865,45.0973999
Z Dorsal patch 150,-639.0108398,-636.6998047,-641.4068359,-638.6274902,-643.126709,-635.870166,-579.7042969,-576.6487793,-582.7796387,-578.4731934,-579.5922363,-825.1884766,-823.9140625,-835.9608398,-823.8058594,-833.0522461,-832.3276367,-834.1460938,-1230.521875,-1234.411523,-1275.619531,-1223.158301,-1217.6
X Dorsal patch 15,38.42675171,-48.78514709,43.82182007,-45.82271423,42.19093323,-38.58963928,55.69026489,-27.84577026,57.82545776,-20.8523819,59.7508606,-50.6131897,-44.24851074,30.41809692,-47.16687927,32.20283813,-43.153479,44.20561523,-3.526752472,-8.935321808,-11.3578743,-4.22246933,-0.659399986
Y Dorsal patch 15,-28.08117371,-19.83274536,214.135376,182.3373413,452.9359375,429.321582,-29.21719971,-36.25715637,202.8932495,193.1538574,438.9914551,-10.55566025,224.6732178,199.7081177,468.1103027,430.678125,681.6651367,675.0199219,14.56814575,7.483925629,95.30039063,6.503388977,2.798500061
Z Dorsal patch 15,-618.2668945,-628.8687012,-619.7620117,-629.2187012,-621.5581543,-619.1781738,-554.5640137,-566.0030762,-565.4933594,-565.9014648,-558.5851563,-810.5163574,-808.4413574,-823.0544922,-811.1641602,-813.4103027,-822.4598633,-809.6099609,-1216.284961,-1212.040137,-1251.404102,-1205.309668,-1194.520996
